firstName	lastName	bio	birth	death	image	nid
Werner	Heisenberg, fully Werner Karl Heisenberg	German Quantum Physicist, Philosopher, Nobel Prize Winner in Physics, Discovered Uncertainty Principle	1901	1967	heisenberg[1].gif	191123
Victor G.	Heiser, fully Victor George Heiser	American Physician, Hygienist, Public Health Director in many countries, Author of "An American Doctor's Odyssey"	1873	1972	welch03[1].jpg	191124
Melvin "Mel"	Helitzer	American Educator, Professor in the E.W. Scripps School of Journalism at Ohio University	1924	2009	helitzerfoto[1].gif	191125
Erich	Heller	British Essayist, known for his critical studies in German-language Philosophy and Literature 	1911	1990	mw217649[1].jpg	191126
Robert	Heller	American	NULL	NULL	risky_thumb%25255B1%25255D[1].jpg	191127
Ernest	Hello	French Critic, Author	1828	1885	ernest+hello[1].jpg	191129
Hinton Rowan	Helper	Southern U.S. Critic of Slavery	1829	1909	helper[1].jpg	191130
Bruce Doolin	Henderson	Founder of the Boston Consulting Group 	1915	1992	180px-Bruce_Doolin_Henderson[1].jpg	191132
Charles Hanford	Henderson	Brazilian Author	1896	NULL	c69a810ae7a000122503d110.L._SX80_[1].jpg	191133
King Hendrick, fully Hendrick Tiyanoga	NULL	Mohawk Chief and Warrior, one of four Indian Kings	1680	1755	Mohawk1[1].jpg	191134
George	Henning	NULL	NULL	NULL	head-and-heart[1].jpg	191135
Will	Henry	English Chemist who studied the quantities of gas absorbed by water at different temperatures and under different pressures 	1775	1836	William_Henry[1].jpg	191137
Henry IV of France, also Henry of Navarre	NULL	King of France	1553	1610	henry-iv[1].jpg	191138
Will	Herberg	American Jewish Writer, Intellectual, Social Philosopher, Sociologist of Religion and Scholar	1901	1977	1879045877[1].jpg	191140
Frank	Herbert, formally Franklin Patrick Herbert, Jr. 	American Science Fiction Writer, most notably the "Dune" series	1920	1986	tumblr_me136wPXM21qghqpno1_500[1].jpg	191142
Johann Gottfried von	Herder	German Author, Philosopher, Theologian, Poet and Literary Critic	1744	1803	220px-Herder_by_K%C3%BCgelgen[1].jpg	191143
Joseph	Hergesheimer	American Author	1880	1954	220px-Joseph_Hergesheimer[1].jpg	191144
Philippe	Hériat, pen name of Raymond-Gerard Payelle	French Actor, Writer, Novelist and Playwright	1898	1971	Philippe_Heriat_redux[1].JPG	191145
Hermetica	NULL	Greek Wisdom Texts from 2nd and 3rd Centures	2nd Century C.E.	3rd Century C.E.	100px-HermesTrismegistusCauc[1].jpg	191146
Hermetica - Asclepius III	NULL	Greek Wisdom Text	c. 2nd Century	c. 3rd Century	100px-HermesTrismegistusCauc[1].jpg	191147
Hermetica - Libellus XII	NULL	Greek Wisdom Texts	c. 2nd Century	c. 3rd Century	100px-HermesTrismegistusCauc[1].jpg	191148
Farrer	Herschell. 1st Baron Herschell	Lord Chancellor of Great Britain	1837	1899	Herschell,%20Farrer[1].jpg	191151
John	Herschel, fully Sir John Frederick William Herschel, 1st Baronet	English Astronomer, Mathematician, Chemist and Experimental Photographer and Inventor	1792	1871	hb_L.1997.84.6[1].jpg	191152
John  	Hersey, fully John Richard Hersey	American Novelist, Journalist	1914	1993	240px-Johnhersey[1].jpg	191153
Lenore	Hershey	American Businesswoman, Editor of McCall's Magazine and The Ladies' Home Journal	1919	1997	four_s6[1].jpg	191154
Georg von	Hertling, fully Georg Friedrich Graf von	German Philosopher, Statesman, Chancellor of the German Empire, Prime Minister of Prussia, Prime Minister of Bavaria	1843	1919	hertling[1].jpg	191155
Frederick	Hertz, until 1946 Friedrich Otto Hertz, aka Germanus Liber	Austrian-born British Sociologist, Economist and Historian 	1878	1964	64[1].png	191156
R.	Hertz, fully Rabbi Joseph Herman Hertz	Hungarian-born American Rabbi, Chief Rabbi of the United Hebrew Congregations of the British Empire	1872	1946	11111111111[1].JPG	191157
Eleanor 	Brown, fully Nora Eleanor Louisa Hervey Brown	English Author	1811	1903	83604868_132685567599[1].jpg	191158
Lady	Hervey, fully Lady Victoria Frederica Isabella Hervey	English Model, Socialite and Aristocrat 	1976	NULL	220px-Victoria_Hervey_LF[1].JPG	191159
Alexander	Herzen	Russian pro-Western writer and thinker known as the "father of Russian socialism"	1812	1870	alexander_herzen[1].jpg	191161
Theodore M.	Hesburgh, fully Theodore Martin Hesburgh	American Priest of the Congregation of Holy Cross, President of University of Notre Dame	1917	NULL	thesburgh[1].jpg	191164
George T.	Hewitt	American	1854	NULL	getty_rf_photo_of_girl_napping_with_dog[1].jpg	191166
John	Heywood	English Poet, Playwright and Collector of Proverbs	c. 1497	1580	bkgpforz1[1].jpg	191168
John Grier	Hibben	Presbyterian Minister, Philosopher, Educator	1861	1933	JohnGHibben[1].jpg	191169
Warren	Highley	American Judge	1833	1911	72000122-forest-denudation[1].jpg	191170
Jamake	Highwater	Native American Writer and Journalist	1930	2001	74849[1].jpg	191171
Hilda	Charlton	British-born American  Spiritual Leader, Author, Dancer and Healer	1906	NULL	meditation[1].jpg	191172
Edward	Hill	NULL	NULL	NULL	spirit-mind[1].jpg	191173
George Stillman	Hillard	American Lawyer, Orator, Politician, Man of Letters	1808	1879	prod_6579[1].jpg	191174
Rabbi Hillel "The Elder"	NULL	Babylonian Jewish Sage, Scholar, Master of Biblical Commentary	c. 110 B.C.	c. 10 A.D.	rabbi-hillel[1].jpg	191175
Robert	Hillyer, fully Robert Silliman Hillyer	American Poet	1895	1961	tn.hillyer[1].jpg	191178
James	Hilton	English Utopian Writer	1900	1954	utf13[1].jpg	191179
Philip J.	Hilts, fully Philip James Hilts	American Author, Health and Science Reporter for the New York Times and Washington Post, Professor of Science Journalism at University of Botswana	1947	NULL	mgaut[1].jpg	191181
Chester	Himes, fully Chester Bomar Himes	American Author including "If He Hollers Let Him Go" and a series of Harlem Detective novels. In 1958 he won France's Grand Prix de Littérature Policière; two of his novels were made into feature films: Cotton Comes to Harlem and A Rage in Harlem	1909	1984	himes[1].JPG	191182
Paul	Hindemith	German Composer, Violinist, Violin Teacher, Music Theorist and Conductor	1895	1963	Hindemith[1].jpg	191183
Burke Aaron	Hinsdale	Author, Education Pioneer	1837	1900	Hinsdale2[1].jpg	191184
Theodore Gottlieb von 	Hippel the Younger	Prussian Statesman	1775	1843	Theodor_Gottlieb_von_Hippel_%281775-1843%29[1].jpg	191185
Emil G.	Hirsch, fully Emil Gustav Hirsch	American Reformed Movement Rabbi	1851	1923	412GWN9B0FL._SL500_AA300_[1].jpg	191187
Maren R	Niehoff	Austrian-born Lecturer in the Department of Jewish Thought at the Hebrew University of Jerusalem	1917	NULL	51bthRTd%2BeL._SY90_[1].jpg	191188
Tommy	Hitchcock, fully Thomas "Tommy" Hitchcock, Jr.	American Sportsman and Polo Player	1900	1944	Thomas-Hitchcock-Jr[1].jpg	191189
Adolph	Hitler	Austrian-born German politician and the leader of the National Socialist German Workers Party commonly known as the Nazi Party, Chancellor of Germany, Führer of the Third Reich	1889	c. 1945	Hitler1a[1].jpg	191190
Hitopadesa or The Hitopadesa or Hitopadesha	NULL	Collection of Hindu Writings, Fables and Verse, Independent Treatment of the Panchatantra, an Exposition on statecraft produced for young princes	12th Century	NULL	fath_lady_musicians_100[1].jpg	191191
Edward	Hoagland, fully Edward Morley Hoagland	American Author best known for his nature and travel writing	1932	NULL	Hoagland[1].jpg	191192
Mahlon	Hoagland	American Biochemist, discovered transfer RNA (tRNA), the translator of the genetic code	1921	2009	HoaglandMahlon[1].jpg	191193
William D.	Hoard, fully William Dempster Hoard	American Governor of Wisconsin, considered father of the Wisconsin Dairy Industry, founded first National Dairy Magazine "Hoard's Dairyman"	1836	1918	170px-William_D._Hoard[1].jpg	191194
Rolf	Hochhuth	German Playwright, Editor and Author best known for his drama "The Deputy" which included his insinuation of Pope Pius XII's sympathies for Hitler's extermination of the Jews	1931	NULL	der-coup-dramatiker-schlechthin-rolf-hochhuth[1].jpg	191195
Archibald Alexander	Hodge	American Theologian and Presbyterian Leader	1823	1886	aahodge[1].jpg	191196
Edward	Hodnett	Author and Editor	NULL	NULL	questions-resized-600[1].jpg	191198
Abbie	Hoffman, fully Abbot Howard "Abbie" Hoffman	American Social and Political Activist,Co-founded the Youth International Party "Yippies"	1936	1989	chi10_hoffman[1].jpg	191199
Paul G.	Hoffman, fully Paul Gray Hoffman	American Automobile Executive, Statesman and Director of Economic Co-operation Administration administering the Marshall Plan	1891	1974	hoffman22[1].jpg	191200
Richard	Hofstadter	American Historian and Intellect	1916	1970	the_paranoid_style_in_american_punditry-460x307[1].jpg	191202
Marian	Hofstein	Actress	NULL	NULL	trouvelotfigures0491[1].jpg	191203
Elizabeth R.	Hogan	American Author	1940	2010	hogan_elizabeth_lo[1].jpg	191204
William	Hogarth	English Painter, Print-maker, Pictorial Satirist, Social Critic and Editorial Cartoonist	1697	1764	hogarth33a[1].jpg	191205
Soozi	Holbeche	Sri Lanka-born South African Author, Lecturer, Dream Therapist and Healer	NULL	NULL	soozi_pic[1].jpg	191206
Henry Scott	Holland	Regius Professor of Divinity at The University of Oxford, Canon of Christ Church	1847	1918	Henry_Scott_Holland[1].jpg	191207
Jack	Holland	Irish Novelist, Journalist and Poet	1947	2004	jack_holland_mid[1].jpg	191209
William E.	Holler	American Auto Dealer	1941	2004	$(KGrHqR,!iQE-Zgcdo9zBPnFSFVrIw~~60_35[1].JPG	191212
H. L.	Hollis	NULL	NULL	NULL	faith_for_the_future_2[1].jpg	191213
Raymond	Holliwell	American Teacher	1900	1986	0875168086[1].jpg	191214
Rufus Cecil	Holman	American Politician, Businessman, Teacher, State Treasurer in Oregon	1877	1959	130px-Rufus_Holman[1].jpg	191215
Eugene	Holman	American Oilman, Chairman of Standard Oil Corporation	1895	1962 	1101470324_400[1].jpg	191216
B. C.	Holwick	NULL	NULL	NULL	listen-full_21876[1].jpg	191218
Thomas	Hood	British Humorist and Poet	1799	1845	hood_thomas[1].jpg	191219
Sidney	Hook	American Philosopher, Educator and Writer	1902	1989	1972635-M[1].jpg	191220
Richard	Hooker	English Renaissance Anglican Priest, Philosopher, Theologian and Author	1554	1600	richard_hooker[1].jpg	191221
Lucy  	Hooper True	Poet	NULL	NULL	innocence-girl-and-flower[1].jpg	191222
Anthony	Hope, fully Sir Anthony Hope Hawkins	English Author, Novelist and Playwright best known for "Prisoner of Zenda" and its sequel "Rupert of Hentzau"	1863	1933	01AF-6Z3D[1].jpg	191223
Alphonso A.	Hopkins	American Author, Nominated for Governor of New York	fl. 1875	NULL	his-prison-bars-temperance-story-alphonso-alva-hopkins-paperback-cover-art[1].jpg	191224
Ernest Martin	Hopkins	President of Dartmouth College	1877	1964	Hopkins-Martin-Ernest[1].jpg	191225
Evan Henry	Hopkins	Free Lance Writer, Higher Life Movement	1837	1918	OhioBar1897P359Hopkins[1].gif	191226
Ezekial	Hopkins	English Calvinist Bishop in the Church of Ireland	1633	1690	Hopkins[1].jpg	191227
George 	Houston	NULL	NULL	NULL	NULL	191230
Walter	Hoving	Swedish-born American Businessman, Head of Tiffany & Company	1897	1989	walter-hoving-1897-1989was-everett[1].jpg	191232
Robert	Howard, fully Sir Robert Howard	English Playwright and Politician	1626	1698	Sir_Robert_Howard[1].jpg	191234
Ralph E.	Howland, Jr.	NULL	NULL	NULL	loving_home_postcard-p239817711884557689baanr_400[1].jpg	191236
L. Ron 	Hubbard, fully Lafayette Ronald Hubbard	American Pulp Fiction Author, Cult Leader, Founder of Scientology and Dianetics	1913	1986	oldhubb[1].jpg	191240
James Monroe	Hubbert	American Presbyterian Minister	1850	1934	HubbertJM2[1].jpg	191241
Henry Norman	Hudson	American Clergy	1814	1886	337e0b459d71dce6376546c41514331414f6744[1].jpg	191243
Christoph Wilhelm	Hufeland	German Physician	1762	1836	christoph_wilhelm_hufeland[1].jpg	191244
Hugh of St. Victor	NULL	German Philosopher, Theologian	c. 1096	1141	200px-Hugostv[1].jpg	191245
Hugh Price	Hughes	Welsh Methodist Christian Theologian, Founder of the Methodist Times and Superintendent of the West London Methodist Mission	1847	1902	220px-Hugh_Price_Hughes2[1].jpg	191246
Hughie	Charles, born Charles Hugh Owen Ferry	English Keyboard Player.  With Ross Parker wrote the lyrics to "We'll Meet Again", a 1939 song made famous by British singer Dame Vera Lynn	1907	1995	1705964_f_s_1[1].jpg	191247
Ta-chu	Hui-Hai	Chinese Zen Master, Disciple of Ma-tzu, T'ang Dynasty Ch'an Monk 	NULL	788	Dazhu_Huihai[1].jpg	191248
Dajian	Hui-neng or Huineng	Seventh Century Chinese Sage, Sixth Patriarch of the School of Meditation (Ch'an), Zen Monastic	678	713	huineng2[1].jpg	191249
Harold S.	Hulbert	American Psychiatrist	1897	1949	n077459[1].gif	191250
Robert Ernest	Hume	Indian Author, Translator, Professor of the History of Religions in the Union Theological Seminary in New York	1877	1949	9780023584503[1].jpg	191252
George	Mogridge, aka "Old Humphrey"	English Poet and Author of Children's Books and Religious Tracts	1787	1854	220px-George_Mogridge_%28author%29[1].jpg	191253
Alfred William	Hunt	English Landscape Painter	1831	1896	mw145541[1].jpg	191256
William Morris	Hunt	American Printer and Painter	1824	1879	william-morris-hunt-4[1].jpg	191257
John	Hunter	English Surgeon	1728	1793	220px-John_Hunter_by_John_Jackson[1].jpg	191258
Sol	Hurok, fully Solomon Isiaevich Hurok; born Solomon Izrailevich Gurkov	American Impresario	1888	1974	solhurok[1].jpg	191259
Fannie	Hurst	American Novelist	1889	1968	412YXSoNt1L[1].jpg	191260
Edmund	Husserl, fully Edmund Gustav Albrecht Husserl	Moravian-German Philosopher and Mathematician who is deemed Founder of Phenomenology	1859	1938	husserlgf[1].jpg	191261
Lawrence	Hyde, 1st Earl of Rochester	English Statesman and Writer	1641	1711	250px-Laurence_Hyde%2C_Earl_of_Rochester[1].jpg	191262
William De Witt	Hyde	American College President at Bowdoin College	1858	1917	220px-William_DeWitt_Hyde_president_of_Bowdoin_College[1].jpg	191263
Archbishop Lakovos, born Demetrios Koukouzis	NULL	Primate of the Greek Orthodox Archdiocese of North and South America 	1911	2005	2[1].jpg	191264
Dolores	Ibarruri, aka “La Pasaonaria”	Spanish Communist Leader	1895	1989	todosConLaRoja-500x633[1].jpg	191265
Ibycus	NULL	Italian-Greek Lyric Poet	fl. 6th Century B.C.	NULL	100px-Samoskouros[1].JPG	191266
Roger	Imhoff	NULL	NULL	NULL	3pqok5mrb9[1].jpg	191268
Lorenzo	Imperiali	Roman Cardinal	1612	1673	Stori247[1].jpg	191269
Jean-Augustine-Dominique	Ingres	French Painter	1760	1867	jean-auguste-dominique-ingres-portrait-of-charles-joseph-laurent-cordier[1].jpg	191270
Eugène	Ionesco, born Eugen Ionescu	Romanian and French Dramatist and Playwright of the Theatre of the Absurd depicting in a tangible way the solitude and insignificance of human existence	1909	1994	ionescu1[1].jpg	191271
Nahman ben	Isaac	Jewish Educator	NULL	NULL	120px-Isaac_Abrabanel[1].jpg	191272
Isaak	Iselin	Swiss Author	1728	1782	220px-Iselin_Isaak[1].jpg	191273
Ze'ev	Jabotinsky, born Vladimir Jabotinsky	Russian Revisionist Zionist Leader, Journalist, Orator, Man of Letters, Founder of the Jewish Self-Defense Organization in Odessa, helped form the Jewish Legion	1880	1940	zeev-jabotinsky-29432019[1].jpg	191276
Bruce	Jackson	American Scholar, Folklorist, Documentary Filmmaker and Photographer	1936	NULL	Bruce-Jackson11[1].jpg	191277
Michael	Jackson, fully Michael Joseph Jackson, aka MJ or King of Pop	American Contemporary Musical Entertainer, Recording Artist and Businessman	1958	2009	MV5BMTM1NjExNjg1OV5BMl5BanBnXkFtZTcwMTQ0NzIwMw@@._V1._SX214_CR0,0,214,314_[1].jpg	191278
Nelson	Jackson, fully Horatio Nelson Jackson	American Physician and Automobile Pioneer	1872	1955	BudacrossAmerica_600[1].jpg	191279
Wes	Jackson	American Biologist, Founder and President of The Land Institute promoting the Sustainable Agriculture Movement, Awarded Pew Conservation Scholars Award and Right Livelihood Award 	1936	NULL	WesJackson[1].jpg	191280
Max	Jacob, pen name  Léon David and Morven le Gaëlique	French Poet, Prose Writer, Painter and Critic	1876	1944	Max_Jacob_2_-_160_x_195_02[1].jpg	191281
Henry	James, Sr.  	American Theologian and Swedenborgian, Father of William and Henry James	1811	1882	a5825a39-8cca-4b70-9774-ee6887a37339[1].jpg	191282
John Angell	James	English Dissenting Clergy	1785	1859	240px-John_Angell_James[1].jpg	191283
Gerald G.	Jampolsky	American Contemporary Author, Psychiatrist, Relationships Counsellor	1925	NULL	Jampolsky[1].jpg	191284
Elizabeth	Janeway, born Elizabeth Ames Hall	American Author and Critic	1913	2005	ElizabethJaneway[1].jpg	191285
Jules	Janin	French Writer and Critic	1804	1874	300px-Jules_Janin_woodburytype[1].jpg	191286
Randall	Jarrell	American Poet, Novelist, Critic, Children's Author, Essayist	1914	1965	jarrell[1].gif	191288
Bede	Jarrett	English Dominican Preacher	1881	1934	BedeJarrett[1].jpg	191289
Angelo	Jaspe	Panamanian Contemporary Pianist	NULL	NULL	angelo-jaspe[1].jpg	191290
Karl	Jaspers, fully Karl Theodor Jaspers	German Psychiatrist and Philosopher	1883	1969	14706[1].jpg	191291
